query,intent,city
"Find religious centers in Eluru.",churches,Eluru
"Where can I find churches in Gopalapuram?",churches,Gopalapuram
"List churches in Gopalapuram.",churches,Gopalapuram
"Show me places of worship in Gopalapuram.",churches,Gopalapuram
"Find religious centers in Gopalapuram.",churches,Gopalapuram
"Where are the churches in Gudur?",churches,Gudur
"List churches in Gudur.",churches,Gudur
"Show me places of worship in Gudur.",churches,Gudur
"Find religious centers in Gudur.",churches,Gudur
"Where can I find churches in Guntakal?",churches,Guntakal
"List churches in Guntakal.",churches,Guntakal
"Show me places of worship in Guntakal.",churches,Guntakal
"Find religious centers in Guntakal.",churches,Guntakal
"Where are the churches in Guntur?",churches,Guntur
"List churches in Guntur.",churches,Guntur
"Show me places of worship in Guntur.",churches,Guntur
"Find religious centers in Guntur.",churches,Guntur
"Where can I find churches in Hindupur?",churches,Hindupur
"List churches in Hindupur.",churches,Hindupur
"Show me places of worship in Hindupur.",churches,Hindupur
"Find religious centers in Hindupur.",churches,Hindupur
"Where are the churches in Jammalamadugu?",churches,Jammalamadugu
"List churches in Jammalamadugu.",churches,Jammalamadugu
"Show me places of worship in Jammalamadugu.",churches,Jammalamadugu
"Find religious centers in Jammalamadugu.",churches,Jammalamadugu
"Where can I find churches in Kadapa?",churches,Kadapa
"List churches in Kadapa.",churches,Kadapa
"Show me places of worship in Kadapa.",churches,Kadapa
"Find religious centers in Kadapa.",churches,Kadapa
"Where are the churches in Kadiri?",churches,Kadiri
"List churches in Kadiri.",churches,Kadiri
"Show me places of worship in Kadiri.",churches,Kadiri
"Find religious centers in Kadiri.",churches,Kadiri
"Where can I find churches in Kakinada?",churches,Kakinada
"List churches in Kakinada.",churches,Kakinada
"Show me places of worship in Kakinada.",churches,Kakinada
"Find religious centers in Kakinada.",churches,Kakinada
"Where are the churches in Kandukur?",churches,Kandukur
"List churches in Kandukur.",churches,Kandukur
"Show me places of worship in Kandukur.",churches,Kandukur
"Find religious centers in Kandukur.",churches,Kandukur
"Where can I find churches in Kavali?",churches,Kavali
"List churches in Kavali.",churches,Kavali
"Show me places of worship in Kavali.",churches,Kavali
"Find religious centers in Kavali.",churches,Kavali
"Where are the churches in Kovvur?",churches,Kovvur
"List churches in Kovvur.",churches,Kovvur
"Show me places of worship in Kovvur.",churches,Kovvur
"Find religious centers in Kovvur.",churches,Kovvur
